datetime,time,cat,z,G_rsun,Sin,alpha,Sout,Snet,Lin,Lout,Lnet,Rnet,T2m,Ts,H,LE,Qt,Qg,Qm,ablation_mm,ST,Rib,date
2019-07-07 00:00:00,00:00:00,21,2554.0,502.70000000000005,0.0,0.20102811,0.0,0.0,257.29925809873646,311.0606615035427,-53.76140340480623,-53.76140340480623,9.1445,-1.0,0.0,0.0,0,-0.0,0.0,0.0,0,1.603744026374737,2019-07-07
2019-07-07 00:00:00,00:00:00,22,2496.0,499.8,0.0,0.20334289,0.0,0.0,257.29925809873646,311.0606615035427,-53.76140340480623,-53.76140340480623,9.5215,-1.0,0.0,0.0,0,-0.0,0.0,0.0,0,1.661125549328703,2019-07-07
2019-07-07 00:00:00,00:00:00,23,2474.0,498.7,0.0,0.20422091,0.0,0.0,257.29925809873646,311.0606615035427,-53.76140340480623,-53.76140340480623,9.6645,-1.0,0.0,0.0,0,-0.0,0.0,0.0,0,1.6828509353846437,2019-07-07
2019-07-07 00:00:00,00:00:00,24,2485.0,499.25,0.0,0.20378190000000002,0.0,0.0,257.29925809873646,311.0606615035427,-53.76140340480623,-53.76140340480623,9.593,-1.0,0.0,0.0,0,-0.0,0.0,0.0,0,1.6719909893125713,2019-07-07
2019-07-07 00:00:00,00:00:00,25,2506.0,500.29999999999995,0.0,0.20294379,0.0,0.0,257.29925809873646,311.0606615035427,-53.76140340480623,-53.76140340480623,9.4565,-1.0,0.0,0.0,0,-0.0,0.0,0.0,0,1.651243105663109,2019-07-07
2019-07-07 00:00:00,00:00:00,26,2506.0,500.29999999999995,0.0,0.20294379,0.0,0.0,257.29925809873646,311.0606615035427,-53.76140340480623,-53.76140340480623,9.4565,-1.0,0.0,0.0,0,-0.0,0.0,0.0,0,1.651243105663109,2019-07-07
2019-07-07 00:00:00,00:00:00,27,2531.0,501.55000000000007,0.0,0.20194604,0.0,0.0,257.29925809873646,311.0606615035427,-53.76140340480623,-53.76140340480623,9.294,-1.0,0.0,0.0,0,-0.0,0.0,0.0,0,1.62651709648413,2019-07-07
2019-07-07 00:00:00,00:00:00,28,2576.0,503.8,0.0,0.20015009,0.0,0.0,257.29925809873646,311.0606615035427,-53.76140340480623,-53.76140340480623,9.0015,-1.0,0.0,0.0,0,-0.0,0.0,0.0,0,1.5819385078766954,2019-07-07
2019-07-07 00:00:00,00:00:00,29,2655.0,507.75000000000006,0.0,0.1969972,0.0,0.0,257.29925809873646,311.0606615035427,-53.76140340480623,-53.76140340480623,8.488,-1.0,0.0,0.0,0,-0.0,0.0,0.0,0,1.5034543516532677,2019-07-07
2019-07-07 00:00:00,00:00:00,30,2636.0,506.8,0.0,0.19775548999999998,0.0,0.0,257.29925809873646,311.0606615035427,-53.76140340480623,-53.76140340480623,8.6115,-1.0,0.0,0.0,0,-0.0,0.0,0.0,0,1.5223564150753335,2019-07-07
2019-07-07 00:00:00,00:00:00,31,2361.0,493.05,0.0,0.20873074000000003,0.0,0.0,257.29925809873646,311.0606615035427,-53.76140340480623,-53.76140340480623,10.399000000000001,-1.0,0.0,0.0,0,-0.0,0.0,0.0,0,1.794095081977524,2019-07-07
2019-07-07 00:00:00,00:00:00,32,2372.0,493.59999999999997,0.0,0.20829173,0.0,0.0,257.29925809873646,311.0606615035427,-53.76140340480623,-53.76140340480623,10.3275,-1.0,0.0,0.0,0,-0.0,0.0,0.0,0,1.7832913329118154,2019-07-07
2019-07-07 00:00:00,00:00:00,33,2397.0,494.85,0.0,0.20729398000000002,0.0,0.0,257.29925809873646,311.0606615035427,-53.76140340480623,-53.76140340480623,10.165000000000001,-1.0,0.0,0.0,0,-0.0,0.0,0.0,0,1.758717077755471,2019-07-07
