datetime,date,time,cat,z,G_rsun,Sin,alpha,Sout,Snet,Lin,Lout,Lnet,Rnet,T2m,Ts,H,LE,Qt,Qg,Qm,ablation_mm,ST,Rib
2019-07-07 00:00:00,2019-07-07,00:00:00,1,2635.0,506.75000000000006,0.0,0.1977954,0.0,0.0,257.29925809873646,311.0606615035427,-53.76140340480623,-53.76140340480623,8.618,-1.0,0.0,0.0,0,-0.0,0.0,0.0,0,1.523350801524294
2019-07-07 00:30:00,2019-07-07,00:30:00,1,2635.0,506.75000000000006,0.0,0.20326218000000001,0.0,0.0,258.1140781231472,311.0606615035427,-52.94658338039551,-52.94658338039551,9.371,-1.0,0.0,0.0,0,-0.0,0.0,0.0,0,0.6018851686166206
2019-07-07 01:00:00,2019-07-07,01:00:00,1,2635.0,506.75000000000006,0.0,0.19916028000000002,0.0,0.0,258.85681909158393,311.0606615035427,-52.20384241195876,-52.20384241195876,8.806000000000001,-1.0,0.0,0.0,0,-0.0,0.0,0.0,0,0.5726148887420106
2019-07-07 01:30:00,2019-07-07,01:30:00,1,2635.0,506.75000000000006,0.0,0.19460100000000002,0.0,0.0,259.45668359229563,311.0606615035427,-51.60397791124706,-51.60397791124706,8.178,-1.0,3.916578178614645,0.47880087322915993,0,-0.0,0.0,0.0,0,0.27603856318135594
2019-07-07 02:00:00,2019-07-07,02:00:00,1,2635.0,506.75000000000006,0.0,0.20554182000000001,0.0,0.0,261.8829914697957,311.0606615035427,-49.177670033747006,-49.177670033747006,9.685,-1.0,26.127514922620872,3.4419182025471056,0,-0.0,0.0,0.0,0,0.39146510329216905
2019-07-07 02:30:00,2019-07-07,02:30:00,1,2635.0,506.75000000000006,0.0,0.20052516,0.0,0.0,260.00650363794426,311.0606615035427,-51.05415786559843,-51.05415786559843,8.994,-1.0,2.127654027097302,0.21609748322814462,0,-0.0,0.0,0.0,0,0.25139028803386126
2019-07-07 03:00:00,2019-07-07,03:00:00,1,2635.0,506.75000000000006,0.0,0.20371956000000002,0.0,0.0,259.8344719043248,311.0606615035427,-51.22618959921789,-51.22618959921789,9.434,-1.0,0.4575625565012672,0.03273610011775322,0,-0.0,0.0,0.0,0,0.2223852952646398
2019-07-07 03:30:00,2019-07-07,03:30:00,1,2635.0,506.75000000000006,0.0,0.20462706,0.0,0.0,259.2744180130844,311.0606615035427,-51.786243490458276,-51.786243490458276,9.559,-1.0,0.044073292840298206,0.002769641218522172,0,-0.0,0.0,0.0,0,0.1933503701250421
2019-07-07 04:00:00,2019-07-07,04:00:00,1,2635.0,506.75000000000006,9.1,0.20508444,1.866268404,7.233731596,258.17463089184747,311.0606615035427,-52.88603061169522,-45.65229901569522,9.622,-1.0,0.025884455150239374,0.0009237327271091032,0,-0.0,0.0,0.0,0,0.19491595579665882
2019-07-07 04:30:00,2019-07-07,04:30:00,1,2635.0,506.75000000000006,21.8,0.20554182000000001,4.480811676,17.319188324000002,258.6944508801415,311.0606615035427,-52.36621062340117,-35.04702229940117,9.685,-1.0,5.802114693556684,0.2406091026906705,0,-0.0,0.0,0.0,0,0.13133347411996485
2019-07-07 05:00:00,2019-07-07,05:00:00,1,2635.0,506.75000000000006,81.6,0.20782146,16.958231136,64.641768864,259.5138141691946,315.6578223008046,-56.14400813161001,8.497760732389992,9.999,0.0,4.814157294130685,0.1827848195356045,0,24.444444444444443,37.93914729050075,0.20446247042784838,0,0.13530206863306163
2019-07-07 05:30:00,2019-07-07,05:30:00,1,2635.0,506.75000000000006,145.1,0.22422180000000003,32.534583180000006,112.56541682,260.0966661206759,315.6578223008046,-55.561156180128705,57.00426063987129,12.258000000000001,0.0,17.900713006287027,1.0031673353840032,0,24.444444444444443,100.35258542598676,0.5408223166669945,0,0.33516005138962696
2019-07-07 06:00:00,2019-07-07,06:00:00,1,2635.0,506.75000000000006,230.3,0.22786632,52.477613496000004,177.822386504,260.6619703428772,315.6578223008046,-54.99585195792736,122.82653454607265,12.76,0.0,0.0,0.0,0,24.444444444444443,147.2709789905171,0.7936759346794334,0,0.5121606285263641
2019-07-07 06:30:00,2019-07-07,06:30:00,1,2635.0,506.75000000000006,295.6,0.22194216,65.606102496,229.99389750400002,264.0241283776677,315.6578223008046,-51.63369392313689,178.36020358086313,11.944,0.0,0.0,0.0,0,24.444444444444443,202.80464802530759,1.0929591809747117,0,0.48479049289170834
2019-07-07 07:00:00,2019-07-07,07:00:00,1,2635.0,506.75000000000006,382.7,0.23059608000000004,88.24911981600002,294.45088018399997,264.4169274115927,315.6578223008046,-51.24089488921186,243.2099852947881,13.136000000000001,0.0,0.0,0.0,0,24.444444444444443,267.65442973923257,1.4424490225467623,0,0.6630099416678661
2019-07-07 07:30:00,2019-07-07,07:30:00,1,2635.0,506.75000000000006,455.2,0.23059608000000004,104.96733561600001,350.232664384,268.34201011744057,315.6578223008046,-47.31581218336402,302.91685220063596,13.136000000000001,0.0,0.0,0.0,0,24.444444444444443,327.3612966450804,1.7642225567698946,0,0.5307873620765591
2019-07-07 08:00:00,2019-07-07,08:00:00,1,2635.0,506.75000000000006,516.9,0.23241834,120.137039946,396.76296005399996,269.0459522985021,315.6578223008046,-46.61187000230251,350.15109005169745,13.387,0.0,0.0,0.0,0,24.444444444444443,374.5955344961419,2.0187783296199266,0,0.6792956609228263
2019-07-07 08:30:00,2019-07-07,08:30:00,1,2635.0,506.75000000000006,589.4,0.23469798000000003,138.330989412,451.06901058799997,273.3549621708181,315.6578223008046,-42.30286012998647,408.7661504580135,13.701,0.0,0.0,0.0,0,24.444444444444443,433.21059490245796,2.3346678767198332,0,0.6959888882396631
2019-07-07 09:00:00,2019-07-07,09:00:00,1,2635.0,506.75000000000006,658.4,0.25381356,167.110847904,491.28915209599995,277.6559353364432,315.6578223008046,-38.001886964361404,453.28726513163855,16.334,0.0,9.251694718331361,0.18501025136961183,0,24.444444444444443,487.168414545784,2.625458521504225,0,0.27517863793229763
2019-07-07 09:30:00,2019-07-07,09:30:00,1,2635.0,506.75000000000006,711.0,0.24607440000000003,174.9588984,536.0411016,277.28708538375895,315.6578223008046,-38.37073691704563,497.6703646829544,15.268,0.0,30.020534043423883,1.5012793513115599,0,24.444444444444443,553.6366225221344,2.98367042077797,0,0.3511281953676297
2019-07-07 10:00:00,2019-07-07,10:00:00,1,2635.0,506.75000000000006,783.5,0.24789666,194.22703310999998,589.27296689,280.7426785934642,315.6578223008046,-34.915143707340405,554.3578231826596,15.519,0.0,16.05071445654681,0.704981341015397,0,24.444444444444443,595.5579634246661,3.20959381486347,0,0.30545159802675753
2019-07-07 10:30:00,2019-07-07,10:30:00,1,2635.0,506.75000000000006,912.3,0.24516690000000002,223.66576287,688.63423713,301.1158491339757,315.6578223008046,-14.541973166828882,674.092263963171,15.143,0.0,29.407734747410917,1.01628330475196,0,24.444444444444443,728.9607264597784,3.928530861160483,0,0.35037499970915786
