datetime,time_str,cat,z,r_sun_global_rad,Sin_cell,Sout,Lin,Lout,T2m,Ts,H,LE,Qr,Qg,Qm,ablation_mm
2019-07-07 00:00:00,2019-07-07 00:00,94,2563,0.0,0.0,0.0,257.29925809873646,315.6578223008046,9.086,0.0,0.0,0.0,0.0,4.444444444444444,577.4015248439855,3.1494628627853753
2019-07-07 00:00:00,2019-07-07 00:00,96,2563,0.0,0.0,0.0,257.29925809873646,315.6578223008046,9.086,0.0,0.0,0.0,0.0,4.444444444444444,577.4015248439855,3.1494628627853753
2019-07-07 00:00:00,2019-07-07 00:00,1,2612,0.0,0.0,0.0,257.29925809873646,315.6578223008046,8.7675,0.0,0.0,0.0,0.0,4.444444444444444,577.4015248439855,3.1494628627853753
2019-07-07 00:00:00,2019-07-07 00:00,2,2612,0.0,0.0,0.0,257.29925809873646,315.6578223008046,8.7675,0.0,0.0,0.0,0.0,4.444444444444444,577.4015248439855,3.1494628627853753
2019-07-07 00:00:00,2019-07-07 00:00,3,2610,0.0,0.0,0.0,257.29925809873646,315.6578223008046,8.7805,0.0,0.0,0.0,0.0,4.444444444444444,577.4015248439855,3.1494628627853753
2019-07-07 00:00:00,2019-07-07 00:00,4,2583,0.0,0.0,0.0,257.29925809873646,315.6578223008046,8.956,0.0,0.0,0.0,0.0,4.444444444444444,577.4015248439855,3.1494628627853753
2019-07-07 00:00:00,2019-07-07 00:00,5,2583,0.0,0.0,0.0,257.29925809873646,315.6578223008046,8.956,0.0,0.0,0.0,0.0,4.444444444444444,577.4015248439855,3.1494628627853753
2019-07-07 00:00:00,2019-07-07 00:00,6,2546,0.0,0.0,0.0,257.29925809873646,315.6578223008046,9.1965,0.0,0.0,0.0,0.0,4.444444444444444,577.4015248439855,3.1494628627853753
2019-07-07 00:00:00,2019-07-07 00:00,7,2546,0.0,0.0,0.0,257.29925809873646,315.6578223008046,9.1965,0.0,0.0,0.0,0.0,4.444444444444444,577.4015248439855,3.1494628627853753
2019-07-07 00:00:00,2019-07-07 00:00,8,2639,0.0,0.0,0.0,257.29925809873646,315.6578223008046,8.592,0.0,0.0,0.0,0.0,4.444444444444444,577.4015248439855,3.1494628627853753
2019-07-07 00:00:00,2019-07-07 00:00,9,2610,0.0,0.0,0.0,257.29925809873646,315.6578223008046,8.7805,0.0,0.0,0.0,0.0,4.444444444444444,577.4015248439855,3.1494628627853753
2019-07-07 00:00:00,2019-07-07 00:00,10,2579,0.0,0.0,0.0,257.29925809873646,315.6578223008046,8.982,0.0,0.0,0.0,0.0,4.444444444444444,577.4015248439855,3.1494628627853753
2019-07-07 00:00:00,2019-07-07 00:00,11,2579,0.0,0.0,0.0,257.29925809873646,315.6578223008046,8.982,0.0,0.0,0.0,0.0,4.444444444444444,577.4015248439855,3.1494628627853753
2019-07-07 00:00:00,2019-07-07 00:00,12,2546,0.0,0.0,0.0,257.29925809873646,315.6578223008046,9.1965,0.0,0.0,0.0,0.0,4.444444444444444,577.4015248439855,3.1494628627853753
2019-07-07 00:00:00,2019-07-07 00:00,13,2530,0.0,0.0,0.0,257.29925809873646,315.6578223008046,9.3005,0.0,0.0,0.0,0.0,4.444444444444444,577.4015248439855,3.1494628627853753
2019-07-07 00:00:00,2019-07-07 00:00,14,2530,0.0,0.0,0.0,257.29925809873646,315.6578223008046,9.3005,0.0,0.0,0.0,0.0,4.444444444444444,577.4015248439855,3.1494628627853753
2019-07-07 00:00:00,2019-07-07 00:00,15,2494,0.0,0.0,0.0,257.29925809873646,315.6578223008046,9.5345,0.0,0.0,0.0,0.0,4.444444444444444,577.4015248439855,3.1494628627853753
