datetime,day_of_year,solar_time,cat,z,ST,SD,Z_sl,nd_aws2,Ta_aws2,Ta_cell,G_rsun,G_AWS2_rsun,Sin_AWS2,Sin_cell,alpha,Sout,Lin,Lout,Snet,Lnet,Rnet,T2m_AWS2,T2m,Ts,wind_speed,RH,pressure,H,LE,Qr,Qg,Qm,ablation_mm
2019-07-07 00:00:00,188,0.0,18,2630,1,0,2402.5,3,35.0,32.89,0.0,0.0,0.0,0.0,0.576,0.0,257.3,315.66,0.0,-58.36,-58.36,9.1,16.79,0.0,0.66,54.52,750.86,0.0,0.0,0.0,4.44,0.0,0.0
2019-07-07 00:00:00,188,0.0,19,2630,1,0,2402.5,3,35.0,32.89,0.0,0.0,0.0,0.0,0.576,0.0,257.3,315.66,0.0,-58.36,-58.36,9.1,16.79,0.0,0.66,54.52,750.86,0.0,0.0,0.0,4.44,0.0,0.0
2019-07-07 00:00:00,188,0.0,20,2604,1,0,2402.5,3,35.0,33.57,0.0,0.0,0.0,0.0,0.5767,0.0,257.3,315.66,0.0,-58.36,-58.36,9.1,16.96,0.0,0.66,54.52,750.86,0.0,0.0,0.0,4.44,0.0,0.0
2019-07-07 00:00:00,188,0.0,21,2563,1,0,2402.5,3,35.0,34.64,0.0,0.0,0.0,0.0,0.5777,0.0,257.3,315.66,0.0,-58.36,-58.36,9.1,17.23,0.0,0.66,54.52,750.86,0.0,0.0,0.0,4.44,0.0,0.0
2019-07-07 00:00:00,188,0.0,22,2556,1,0,2402.5,3,35.0,34.82,0.0,0.0,0.0,0.0,0.5779,0.0,257.3,315.66,0.0,-58.36,-58.36,9.1,17.27,0.0,0.66,54.52,750.86,0.0,0.0,0.0,4.44,0.0,0.0
2019-07-07 00:00:00,188,0.0,23,2549,1,0,2402.5,3,35.0,35.0,0.0,0.0,0.0,0.0,0.5781,0.0,257.3,315.66,0.0,-58.36,-58.36,9.1,17.32,0.0,0.66,54.52,750.86,0.0,0.0,0.0,4.44,0.0,0.0
2019-07-07 00:00:00,188,0.0,24,2549,1,0,2402.5,3,35.0,35.0,0.0,0.0,0.0,0.0,0.5781,0.0,257.3,315.66,0.0,-58.36,-58.36,9.1,17.32,0.0,0.66,54.52,750.86,0.0,0.0,0.0,4.44,0.0,0.0
2019-07-07 00:00:00,188,0.0,25,2524,1,0,2402.5,3,35.0,35.65,0.0,0.0,0.0,0.0,0.5787,0.0,257.3,315.66,0.0,-58.36,-58.36,9.1,17.48,0.0,0.66,54.52,750.86,0.0,0.0,0.0,4.44,0.0,0.0
2019-07-07 00:00:00,188,0.0,26,2502,1,0,2402.5,3,35.0,36.22,0.0,0.0,0.0,0.0,0.5792,0.0,257.3,315.66,0.0,-58.36,-58.36,9.1,17.62,0.0,0.66,54.52,750.86,0.0,0.0,0.0,4.44,0.0,0.0
2019-07-07 00:00:00,188,0.0,27,2502,1,0,2402.5,3,35.0,36.22,0.0,0.0,0.0,0.0,0.5792,0.0,257.3,315.66,0.0,-58.36,-58.36,9.1,17.62,0.0,0.66,54.52,750.86,0.0,0.0,0.0,4.44,0.0,0.0
2019-07-07 00:00:00,188,0.0,28,2477,1,0,2402.5,3,35.0,36.87,0.0,0.0,0.0,0.0,0.5799,0.0,257.3,315.66,0.0,-58.36,-58.36,9.1,17.79,0.0,0.66,54.52,750.86,0.0,0.0,0.0,4.44,0.0,0.0
2019-07-07 00:00:00,188,0.0,29,2477,1,0,2402.5,3,35.0,36.87,0.0,0.0,0.0,0.0,0.5799,0.0,257.3,315.66,0.0,-58.36,-58.36,9.1,17.79,0.0,0.66,54.52,750.86,0.0,0.0,0.0,4.44,0.0,0.0
2019-07-07 00:00:00,188,0.0,30,2440,1,0,2402.5,3,35.0,37.83,0.0,0.0,0.0,0.0,0.5808,0.0,257.3,315.66,0.0,-58.36,-58.36,9.1,18.03,0.0,0.66,54.52,750.86,0.0,0.0,0.0,4.44,0.0,0.0
2019-07-07 00:00:00,188,0.0,31,2620,1,0,2402.5,3,35.0,33.15,0.0,0.0,0.0,0.0,0.5763,0.0,257.3,315.66,0.0,-58.36,-58.36,9.1,16.86,0.0,0.66,54.52,750.86,0.0,0.0,0.0,4.44,0.0,0.0
